"Heure de la mesure","Production (kW)","Vers le bâtiment (kW)","Vers le réseau (kW)","Consommation (kW)","Depuis le PV (kW)","Depuis le réseau (kW)"
"22 mai 2026 00:00","0","0","0","0","0","0"
"22 mai 2026 00:15","0","0","0","0","0","0"
"22 mai 2026 00:30","0","0","0","0","0","0"
"22 mai 2026 00:45","0","0","0","0","0","0"
"22 mai 2026 01:00","0","0","0","0","0","0"
"22 mai 2026 01:15","0","0","0","0","0","0"
"22 mai 2026 01:30","0","0","0","0","0","0"
"22 mai 2026 01:45","0","0","0","0","0","0"
"22 mai 2026 02:00","0","0","0","0","0","0"
"22 mai 2026 02:15","0","0","0","0","0","0"
"22 mai 2026 02:30","0","0","0","0","0","0"
"22 mai 2026 02:45","0","0","0","0","0","0"
"22 mai 2026 03:00","0","0","0","0","0","0"
"22 mai 2026 03:15","0","0","0","0","0","0"
"22 mai 2026 03:30","0","0","0","0","0","0"
"22 mai 2026 03:45","0","0","0","0","0","0"
"22 mai 2026 04:00","0","0","0","0","0","0"
"22 mai 2026 04:15","0","0","0","0","0","0"
"22 mai 2026 04:30","0","0","0","0","0","0"
"22 mai 2026 04:45","0","0","0","0","0","0"
"22 mai 2026 05:00","0","0","0","0","0","0"
"22 mai 2026 05:15","0","0","0","0","0","0"
"22 mai 2026 05:30","0","0","0","0","0","0"
"22 mai 2026 05:45","0","0","0","0","0","0"
"22 mai 2026 06:00","0","0","0","0.01","0","0.01"
"22 mai 2026 06:15","0","0","0","0","0","0"
"22 mai 2026 06:30","0.01","0","0.01","0","0","0"
"22 mai 2026 06:45","0.03","0.03","0","0.03","0.03","0"
"22 mai 2026 07:00","0.05","0.05","0","0.05","0.05","0"
"22 mai 2026 07:15","0.06","0.06","0","0.06","0.06","0"
"22 mai 2026 07:30","0.08","0.08","0","0.09","0.08","0.01"
"22 mai 2026 07:45","0.15","0.13","0.03","0.14","0.13","0.01"
"22 mai 2026 08:00","0.32","0.32","0","0.32","0.32","0"
"22 mai 2026 08:15","0.5","0.49","0.01","0.52","0.49","0.03"
"22 mai 2026 08:30","0.61","0.61","0","0.74","0.61","0.14"
"22 mai 2026 08:45","0.77","0.77","0","1.16","0.77","0.39"
"22 mai 2026 09:00","0.91","0.91","0","0.91","0.91","0"
"22 mai 2026 09:15","1.03","1.03","0","1.04","1.03","0.01"
"22 mai 2026 09:30","1.14","1.14","0","2.17","1.14","1.03"
"22 mai 2026 09:45","1.26","1.26","0","1.55","1.26","0.29"
"22 mai 2026 10:00","1.36","1.33","0.03","1.34","1.33","0.01"
